CRIM,NOX,AGE,MEDV
0.05023,0.4379,28.4,17.1
0.03466,0.4379,23.3,19.4
0.05083,0.515,38.1,22.2
0.03738,0.515,38.5,20.7
0.03961,0.515,34.5,21.1
0.03427,0.515,46.3,19.5
0.03041,0.515,59.6,18.5
0.03306,0.515,37.3,20.6
0.05497,0.515,45.4,19.0
0.06151,0.515,58.5,18.7
0.01301,0.442,49.3,32.7
0.02498,0.518,59.7,16.5
0.02543,0.484,56.4,23.9
0.03049,0.484,28.1,31.2
0.03113,0.442,48.5,17.5
0.06162,0.442,52.3,17.2
0.0187,0.429,27.7,23.1
0.01501,0.435,29.7,24.5
0.02899,0.429,34.5,26.6
0.06211,0.429,44.4,22.9
0.0795,0.411,35.9,24.1
0.07244,0.411,18.5,18.6
0.01709,0.41,36.1,30.1
0.04301,0.413,21.9,18.2
0.10659,0.413,,20.6
8.98296,0.77,97.4,17.8
3.8497,0.77,91.0,21.7
5.20177,0.77,83.4,22.7
4.26131,0.77,81.3,22.6
4.54192,0.77,88.0,25.0
3.83684,0.77,91.1,19.9
3.67822,0.77,96.2,20.8
4.22239,0.77,89.0,16.8
3.47428,0.718,82.9,21.9
4.55587,0.718,87.9,27.5
3.69695,0.718,91.4,21.9
13.5222,0.631,100.0,23.1
4.89822,0.631,,50.0
,0.631,96.8,50.0
6.53876,0.631,97.5,50.0
9.2323,0.631,100.0,50.0
8.26725,0.668,89.6,50.0
11.1081,0.668,100.0,13.8
18.4982,0.668,100.0,13.8
19.6091,0.671,97.9,15.0
15.288,0.671,93.3,13.9
9.82349,0.671,98.8,13.3
23.6482,0.671,96.2,13.1
17.8667,0.671,100.0,10.2
88.9762,0.671,91.9,10.4
15.8744,0.671,99.1,10.9
9.18702,0.7,100.0,11.3
7.99248,0.7,100.0,12.3
20.0849,0.7,91.2,8.8
16.8118,0.7,98.1,7.2
24.3938,0.7,100.0,10.5
22.5971,0.7,89.5,7.4
14.3337,0.7,100.0,10.2
8.15174,0.7,98.9,11.5
6.96215,0.7,97.0,15.1
5.29305,0.7,82.5,23.2
11.5779,0.7,97.0,9.7
,0.693,92.6,13.8
,0.693,94.7,12.7
8.71675,0.693,98.8,13.1
5.87205,0.693,96.0,12.5
7.67202,0.693,98.9,8.5
38.3518,0.693,100.0,5.0
9.91655,0.693,77.8,6.3
25.0461,0.693,100.0,5.6
14.2362,0.693,100.0,7.2
9.59571,0.693,100.0,12.1
24.8017,0.693,96.0,8.3
41.5292,0.693,85.4,8.5
67.9208,0.693,100.0,5.0
20.7162,0.659,100.0,11.9
11.9511,0.659,100.0,27.9
7.40389,0.597,97.9,17.2
,0.597,100.0,27.5
51.1358,0.597,100.0,15.0
14.0507,0.597,100.0,17.2
18.811,0.597,100.0,17.9
28.6558,0.597,100.0,16.3
45.7461,0.693,100.0,7.0
18.0846,0.679,100.0,7.2
10.8342,0.679,90.8,7.5
25.9406,0.679,89.1,10.4
73.5341,0.679,100.0,8.8
11.8123,0.718,76.5,8.4
11.0874,0.718,100.0,16.7
7.02259,0.718,95.3,14.2
12.0482,0.614,87.6,20.8
7.05042,0.614,,13.4
8.79212,0.584,70.6,11.7
15.8603,0.679,95.4,8.3
,0.584,59.7,10.2
37.6619,0.679,78.7,10.9
7.36711,0.679,78.1,11.0
9.33889,0.679,,9.5
,0.584,86.1,14.5
10.0623,0.584,94.3,14.1
6.44405,0.584,74.8,16.1
5.58107,0.713,87.9,14.3
13.9134,0.713,95.0,11.7
11.1604,0.74,94.6,13.4
14.4208,0.74,93.3,9.6
15.1772,0.74,100.0,8.7
13.6781,0.74,87.9,8.4
9.39063,0.74,93.9,12.8
22.0511,0.74,92.4,10.5
9.72418,0.74,97.2,17.1
5.66637,0.74,100.0,18.4
9.96654,0.74,100.0,15.4
12.8023,0.74,96.6,10.8
10.6718,0.74,94.8,11.8
6.28807,0.74,96.4,14.9
9.92485,0.74,96.6,12.6
9.32909,0.713,98.7,14.1
7.52601,0.713,98.3,13.0
6.71772,0.713,92.6,13.4
5.44114,0.713,,15.2
5.09017,0.713,91.8,16.1
8.24809,0.713,99.3,17.8
9.51363,0.713,94.1,14.9
4.75237,0.713,86.5,14.1
4.66883,0.713,87.9,12.7
8.20058,0.713,80.3,13.5
7.75223,0.713,83.7,14.9
6.80117,0.713,84.4,20.0
,0.713,90.0,16.4
3.69311,0.713,88.4,17.7
6.65492,0.713,83.0,19.5
5.82115,0.713,89.9,20.2
7.83932,0.655,65.4,21.4
,0.655,48.2,19.9
3.77498,0.655,84.7,19.0
4.42228,0.584,94.5,19.1
15.5757,0.58,71.0,19.1
13.0751,0.58,56.7,20.1
4.34879,0.58,84.0,19.9
4.03841,0.532,90.7,19.6
3.56868,0.58,75.0,23.2
4.64689,0.614,67.6,29.8
8.05579,0.584,95.4,13.8
6.39312,0.584,97.4,13.3
4.87141,0.614,93.6,16.7
15.0234,0.614,97.3,12.0
10.233,0.614,96.7,14.6
14.3337,0.614,88.0,21.4
5.82401,0.532,64.7,23.0
5.70818,0.532,74.9,23.7
5.73116,0.532,77.0,25.0
2.81838,0.532,40.3,21.8
2.37857,0.583,41.9,20.6
3.67367,0.583,51.9,21.2
5.69175,0.583,79.8,19.1
4.83567,0.583,53.2,20.6
0.15086,0.609,92.7,15.2
0.18337,0.609,98.3,7.0
0.20746,0.609,98.0,8.1
0.10574,0.609,98.8,13.6
0.11132,0.609,83.5,20.1
0.17331,0.585,54.0,21.8
0.27957,0.585,42.6,24.5
0.17899,0.585,28.8,23.1
0.2896,0.585,72.9,19.7
0.26838,0.585,70.6,18.3
0.23912,0.585,65.3,21.2
0.17783,0.585,73.5,17.5
0.22438,0.585,79.7,16.8
0.06263,0.573,69.1,22.4
0.04527,0.573,76.7,20.6
0.06076,0.573,91.0,23.9
0.10959,0.573,89.3,22.0
0.04741,0.573,,11.9
